path,interval_ms,fps,color_a,shape_a,color_b,shape_b,a_first,simultaneous,response,pred,gt,correct
data/videos/fps30/int_33ms/fps30_int33_bf_0000.mp4,33,30,red,square,blue,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0001.mp4,33,30,blue,square,green,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0002.mp4,33,30,red,square,blue,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0003.mp4,33,30,green,circle,red,square,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0004.mp4,33,30,green,circle,red,square,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0005.mp4,33,30,blue,square,green,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0006.mp4,33,30,red,square,blue,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0007.mp4,33,30,blue,square,green,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0008.mp4,33,30,green,circle,red,square,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0009.mp4,33,30,blue,square,green,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0010.mp4,33,30,green,circle,red,square,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0011.mp4,33,30,blue,square,green,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0012.mp4,33,30,green,circle,red,square,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0013.mp4,33,30,red,square,blue,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0014.mp4,33,30,red,square,blue,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0015.mp4,33,30,blue,square,green,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0016.mp4,33,30,red,square,blue,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0017.mp4,33,30,red,square,blue,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0018.mp4,33,30,blue,square,green,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0019.mp4,33,30,red,square,blue,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0020.mp4,33,30,green,circle,red,square,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0021.mp4,33,30,blue,square,green,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0022.mp4,33,30,green,circle,red,square,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0023.mp4,33,30,blue,square,green,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0024.mp4,33,30,green,circle,red,square,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0025.mp4,33,30,blue,square,green,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0026.mp4,33,30,blue,square,green,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0027.mp4,33,30,red,square,blue,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0028.mp4,33,30,red,square,blue,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0029.mp4,33,30,green,circle,red,square,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0030.mp4,33,30,green,circle,red,square,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0031.mp4,33,30,green,circle,red,square,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0032.mp4,33,30,green,circle,red,square,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0033.mp4,33,30,red,square,blue,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0034.mp4,33,30,blue,square,green,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0035.mp4,33,30,green,circle,red,square,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0036.mp4,33,30,blue,square,green,circle,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0037.mp4,33,30,blue,square,green,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0038.mp4,33,30,blue,square,green,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0039.mp4,33,30,blue,square,green,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0040.mp4,33,30,blue,square,green,circle,False,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_af_0041.mp4,33,30,green,circle,red,square,True,False,A,A,A,1
data/videos/fps30/int_33ms/fps30_int33_bf_0042.mp4,33,30,green,circle,red,square,False,False,A,A,A,1
